Filename,Counter,nanomaterial_composition,nanomaterial_morphology,nanomaterial_size,biological_species,toxic_lc50,nanomaterial_zeta_potential,biofilms_killing_perc,microbe_killing_log,microbe_killing_mic,nanomaterial_surface_area,microbe_killing_mbc
ATC49156,0,Au,nanoparticle,0.000000025,,,,,,,,
ATC49158,0,Ag,nanoparticle,,,,,,,,,
ATC49158,1,Pd,nanoparticle,,,,,,,,,
ATC49159,1,Ag,nanoparticle,,Escherichia coli,,,,,,,
ATC49160,0,Au,nanoparticle,,Escherichia coli,,,,,,,
ATC49162,0,Ag,nanoparticle,,Withania coagulans,,,,,,,
ATC49164,0,TiO2,nanoparticle,,Escherichia coli,,,,,,,
ATC49166,0,Cu,nanoparticle,,,,,,,,,
ATC49166,1,CuO,nanoparticle,,,,,,,,,
ATC49168,0,Ag,nanoparticle,,Escherichia coli,,,,,,,
ATC49170,0,Ag,nanoparticle,,,,,,,,,
ATC49170,1,Ag,nanoparticle,,Escherichia coli,,,,,,,
ATC49179,0,Al2O3,nanoparticle,,,,,,,,,
ATC49184,0,Ag,nanoparticle,0.000000018,Staphylococcus aureus,,,,,,77.38,
ATC49209,0,Ag,nanoparticle,0.000000018,,,,,,,,
ATC49209,1,Ag,nanoparticle,0.000000018,Aspergillus ochraceus,,,,,,,
ATC49210,0,Ag,nanoparticle,,,,,,,,,
ATC49214,0,Au,nanoparticle,,,,,,,,,
ATC49215,0,Fe,nanoparticle,,,,,,,,,
ATC49254,0,Au,nanoparticle,,,,,,,,,
ATC49263,0,Ag,nanoparticle,,,,,,,,,
ATC49271,0,Ag,nanoparticle,,,,,,,,,
ATC49272,0,TiO2,nanoparticle,,Escherichia coli,,,,,,,
ATC49275,0,SiO2,nanoparticle,,,,,,,,,
ATC49275,1,SiO2,nanoparticle,,,,,,,,,
ATC49278,0,Ag,nanoparticle,,Escherichia coli,,,,,,,
ATC49320,2,ZnO,nanoparticle,,,,,,,,,
ATC49320,3,ZnO,nanoparticle,,,,,,,,,
ATC49351,0,Au,nanoparticle,,,,,,,,,
ATC49351,1,Au,nanoparticle,,,,,,,,,
ATC49382,0,ZnO,nanoparticle,,Bacillus cereus,,,,,,,
ATC49382,1,ZnO,nanoparticle,,Candida albicans,,,,,,,
ATC49382,2,ZnO,nanoparticle,,Escherichia coli,,,,,,,
ATC49382,3,ZnO,nanoparticle,,Pseudomonas aeruginosa,,,,,,,
ATC49382,4,ZnO,nanoparticle,,Staphylococcus aureus,,,,,,,
ATC49394,0,SiO2,nanoparticle,0.00000006,,,,,,,,
ATC49405,0,SiO2,nanoparticle,,,,,,,,,
ATC49416,0,SiO2,nanoparticle,,,,,,,,,
ATC49427,0,Ag,nanoparticle,,,,,,,,,
ATC49437,0,Cu,nanoparticle,,,,,,,,,
ATC49437,1,CuO,nanoparticle,,,,,,,,,
ATC49438,0,Au,nanoparticle,0.000000023,Staphylococcus aureus,,,,,,,
ATC49440,0,Ag,nanoparticle,,,,,,,,,
ATC49440,1,Ag,nanoparticle,,,,,,,,,
ATC49440,2,Ag,nanoparticle,,,,,,,,,
ATC49440,3,Ag,nanoparticle,,,,,,,,,
ATC49440,4,Ag,nanoparticle,,,,,,,,,
ATC49440,5,Ag,nanoparticle,,,,,,,,,
ATC49440,6,Ag,nanoparticle,,,,,,,,,
ATC49440,7,Ag,nanoparticle,,,,,,,,,
ATC49444,0,CeO2,nanoparticle,,,,,,,,,
ATC49448,0,Ag,nanoparticle,,,,,,,,,
ATC49450,0,Fe,nanoparticle,,,,,,,,,
ATC49451,0,SiO2,nanoparticle,,,,,,,,,
ATC49457,0,Pt,nanoparticle,,Escherichia coli,,,,,,,
ATC49476,0,Fe,nanoparticle,,,,,,,,,
ATC49481,0,Ag,nanoparticle,,,,,,,,,
ATC49484,0,Ag,nanoparticle,,,,,,,,,
ATC49491,0,Ag,nanoparticle,,Escherichia coli,,,,,,,
ATC49491,1,Ag,nanoparticle,,Salmonella typhi,,,,,,,
ATC49492,0,Au,nanoparticle,,,,,,,,,
ATC49497,0,Ag,nanoparticle,0.0000001,,,,,,,,
ATC49498,0,Au,nanoparticle,,,,,,,,,
ATC49498,1,Au,nanoparticle,,,,,,,,,
ATC49498,2,Au,nanoparticle,,,,,,,,,
ATC49498,3,Au,nanoparticle,,,,,,,,,
ATC49518,0,Ag,nanoparticle,0.000000081,,,-0.04772,,,,,
ATC49518,1,Ag,nanoparticle,0.000000081,,,-0.04772,,,,,
ATC49518,2,Ag,nanoparticle,0.000000081,Artemia franciscana,,-0.04772,,,0.025,,
ATC49519,0,TiO2,nanoparticle,,,,,,,,,
ATC49528,0,Ag,nanoparticle,,,,,,,,,
ATC49529,0,Ag,nanoparticle,,,,,,,,,
ATC49529,1,Cu,nanoparticle,,,,,,,,,
ATC49551,0,C,nanotube,,,,,,,,,
ATC49565,0,Ag,nanoparticle,,Staphylococcus aureus,,,,,,,
ATC49565,1,Ag,nanoparticle,0.00000003,Staphylococcus aureus,,,,,,,
ATC49565,2,Ag,nanoparticle,0.00000001,Staphylococcus aureus,,,,,,,
ATC49574,0,Au,nanoparticle,,,,,,,,,
ATC49585,0,Ag,nanoparticle,,Escherichia coli,,,,,,,
ATC49587,0,Ag,nanoparticle,,Escherichia coli,,,,,,,
ATC49589,0,Au,nanoparticle,,,,,,,,,
ATC49594,0,Ag,nanoparticle,,,,,,,,,
ATC49594,1,Ag,nanoparticle,,,,,,,,,
ATC49594,2,Ag,nanoparticle,,,,,,,,,
ATC49594,3,TiO2,nanoparticle,,,,,,,,,
ATC49594,4,TiO2,nanoparticle,,,,,,,,,
ATC49594,5,TiO2,nanoparticle,,,,,,,,,
ATC49595,0,Al2O3,nanoparticle,,,,,,,,,
ATC49595,1,TiO2,nanoparticle,,,,,,,,,
ATC49597,0,ZnO,nanoparticle,,,,,,,,,
