,article_doi,Publication Year
ATC000321,doi:10.1016/j.apsusc.2024.159434,2024
ATC000322,doi:10.1016/j.cej.2023.146305,2023
ATC000323,doi:10.1016/j.poly.2010.11.025,2011
ATC000324,doi:10.1016/j.jcis.2020.05.005,2020
ATC000325,doi:10.1016/j.colsurfb.2012.10.044,2013
ATC000326,doi:10.1016/j.ijbiomac.2023.129162,2024
ATC000327,doi:10.1016/j.bios.2020.112552,2020
ATC000328,doi:10.1016/j.bcab.2020.101627,2020
ATC000329,doi:10.1016/j.biombioe.2022.106528,2022
ATC000330,doi:10.1016/j.mtcomm.2022.103228,2022
ATC000331,doi:10.1016/j.dci.2010.12.014,2011
ATC000332,doi:10.1016/j.apsusc.2023.159216,2024
ATC000333,doi:10.1016/j.jallcom.2017.12.194,2018
ATC000334,doi:10.1016/j.watres.2018.03.048,2018
ATC000335,doi:10.1016/j.aquatox.2023.106593,2023
ATC000336,doi:10.1016/j.carbon.2009.02.005,2009
ATC000337,doi:10.1016/j.psep.2024.04.096,2024
ATC000338,doi:10.1016/j.bej.2023.109106,2023
ATC000339,doi:10.1016/j.ecoenv.2019.05.078,2019
ATC000340,doi:10.1016/j.jddst.2020.101890,2020
ATC000341,doi:10.1016/j.jcis.2021.10.107,2022
ATC000342,doi:10.1016/j.jksus.2022.101896,2022
ATC000343,doi:10.1016/j.mtcomm.2022.103784,2022
ATC000344,doi:10.1016/j.msec.2021.112552,2022
ATC000345,doi:10.1016/j.jphotobiol.2008.05.001,2008
ATC000346,doi:10.1016/j.mseb.2005.07.007,2005
ATC000347,doi:10.1016/j.apsadv.2022.100252,2022
ATC000348,doi:10.1016/j.biomaterials.2014.02.033,2014
ATC000349,doi:10.1016/j.ijbiomac.2019.04.143,2019
ATC000350,doi:10.1016/j.mimet.2011.03.018,2011
ATC000351,doi:10.1016/j.jhazmat.2011.08.076,2012
ATC000352,doi:10.1016/j.jcis.2016.08.018,2016
ATC000353,doi:10.1016/j.chemosphere.2020.128761,2021
ATC000354,doi:10.1016/j.impact.2019.100185,2019
ATC000355,doi:10.1016/j.talanta.2020.120715,2020
ATC000356,doi:10.1016/j.jcis.2010.11.035,2011
ATC000357,doi:10.1016/j.aquatox.2019.01.007,2019
ATC000358,doi:10.1016/j.jcis.2021.08.188,2022
ATC000359,doi:10.1016/j.jphotobiol.2023.112818,2024
ATC000360,doi:10.1016/j.colsurfb.2014.03.032,2014
ATC000361,doi:10.1016/j.apsusc.2011.08.070,2011
ATC000362,doi:10.1016/j.jhazmat.2020.122644,2020
ATC000363,doi:10.1016/j.optlastec.2023.109485,2023
ATC000364,doi:10.1016/j.cbpc.2024.109926,2024
ATC000365,doi:10.1016/j.ejpb.2015.03.004,2015
ATC000366,doi:10.1016/j.ijbiomac.2023.126988,2023
ATC000367,doi:10.1016/j.aca.2011.01.014,2011
ATC000368,doi:10.1016/j.jwpe.2022.103187,2022
ATC000369,doi:10.1016/j.surfcoat.2011.07.034,2011
ATC000370,doi:10.1016/j.carbpol.2021.117639,2021
ATC000371,doi:10.1016/j.bmc.2019.02.021,2019
ATC000372,doi:10.1016/j.jfoodeng.2016.04.018,2016
ATC000373,doi:10.1016/j.jhazmat.2024.134084,2024
ATC000374,doi:10.1016/j.jhydrol.2013.07.004,2013
ATC000375,doi:10.1016/j.matchemphys.2019.01.020,2019
ATC000376,doi:10.1016/j.solidstatesciences.2024.107527,2024
ATC000377,doi:10.1016/j.ijbiomac.2021.09.040,2021
ATC000378,doi:10.1016/j.foodhyd.2022.108079,2023
ATC000379,doi:10.1016/j.ijantimicag.2014.09.008,2015
ATC000380,doi:10.1016/j.colsurfa.2021.127532,2021
ATC000381,doi:10.1016/j.chemosphere.2022.137666,2023
ATC000382,doi:10.1016/j.scitotenv.2016.02.191,2016
ATC000383,doi:10.1016/j.ijpharm.2020.119999,2021
ATC000384,doi:10.1016/j.matchemphys.2023.128172,2023
ATC000385,doi:10.1016/j.ecoenv.2021.112371,2021
ATC000386,doi:10.1016/j.msec.2021.112526,2021
ATC000387,doi:10.1016/j.biomaterials.2009.07.037,2009
ATC000388,doi:10.1016/j.jddst.2019.101125,2019
ATC000389,doi:10.1016/j.apsusc.2018.10.077,2019
ATC000390,doi:10.1016/j.inoche.2023.110516,2023
ATC000391,doi:10.1016/j.bioadv.2023.213753,2024
ATC000392,doi:10.1016/j.matchemphys.2018.02.004,2018
ATC000393,doi:10.1016/j.bios.2015.04.059,2015
ATC000394,doi:10.1016/j.ijbiomac.2023.125516,2023
ATC000395,doi:10.1016/j.apcata.2014.10.051,2015
ATC000396,doi:10.1016/j.chemosphere.2022.135887,2022
ATC000397,doi:10.1016/j.talanta.2022.123503,2022
ATC000398,doi:10.1016/j.jphotobiol.2010.09.009,2011
ATC000399,doi:10.1016/j.algal.2021.102418,2021
ATC000400,doi:10.1016/j.colsurfa.2021.127729,2022
ATC000401,doi:10.1016/j.jhazmat.2022.129985,2023
ATC000402,doi:10.1016/j.bioadv.2022.212995,2022
ATC000403,doi:10.1016/j.mne.2024.100239,2024
ATC000404,doi:10.1016/j.mseb.2023.116973,2024
ATC000405,doi:10.1016/j.chemosphere.2018.02.020,2018
ATC000406,doi:10.1016/j.jinorgbio.2020.111177,2020
ATC000407,doi:10.1016/j.ecoenv.2023.115019,2023
ATC000408,doi:10.1016/j.jtice.2015.07.018,2016
